count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 264.31 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 271.06 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 281.09 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 293.84 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 50 %, Enabled, 282.94 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 255.32 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 91 %, 48 %, Enabled, 254.98 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 262.95 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 261.57 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 271.06 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 285.06 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 295.05 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 50 %, Enabled, 282.94 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 258.37 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 92 %, 49 %, Enabled, 248.94 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 264.74 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 261.57 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 271.06 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 285.06 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 295.05 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 50 %, Enabled, 284.74 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 258.37 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 92 %, 49 %, Enabled, 248.94 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 264.74 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 261.57 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 273.19 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 259.51 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 295.05 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 50 %, Enabled, 284.74 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 95 %, 49 %, Enabled, 258.37 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 92 %, 49 %, Enabled, 248.94 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 90 %, 48 %, Enabled, 259.84 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 260.37 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 273.19 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 259.51 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 292.58 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 50 %, Enabled, 283.22 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 252.26 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 92 %, 49 %, Enabled, 250.40 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 48 %, Enabled, 259.84 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 260.37 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 226.65 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 259.51 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 292.58 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 95 %, 50 %, Enabled, 283.22 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 252.26 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 92 %, 49 %, Enabled, 250.40 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 48 %, Enabled, 259.84 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 260.37 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 226.65 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 279.88 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 292.58 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 283.22 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 256.52 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 250.40 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 48 %, Enabled, 261.09 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 96 %, 49 %, Enabled, 264.31 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 226.65 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 279.88 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 296.85 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 285.65 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 256.52 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 252.52 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 48 %, Enabled, 261.09 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 264.31 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 274.39 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 279.88 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 296.85 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 285.65 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 256.52 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 252.52 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 48 %, Enabled, 261.09 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 264.31 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 274.39 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 285.06 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 49 %, Enabled, 296.85 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 285.65 W
